what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365452804732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452806067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452811858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452827540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452827658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365452832956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452834091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452840791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365452893496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452895170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452901100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452901593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452901926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452902238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452902583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452902958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452903246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452903586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452903837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365452904093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365452904690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365452905913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365453173952
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365453175461
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365453176848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365453182240
